江干,绿地华家池印,建面 288m²,在售,住宅,52000,总价1497万/套起
余杭,金都夏宫,建面 135m²,在售,住宅,21000,总价351万/套起
滨江,钱塘大观,建面 230m²,在售,住宅,28000,总价586万/套起
拱墅,万通中心,建面 67~79m²,在售,商业类,28000,总价190万/套起
下城,杭州新天地,建面 129m²,在售,商业类,26000,总价335万/套起
拱墅,蓝钻天成,建面 78m²,在售,商业类,40000,总价310万/套起
余杭,昆仑华府,0,下期待开,住宅,价格待定,0
下城,九龙仓君玺,建面 345m²,在售,住宅,62000,总价2139万/套起
下城,新湖武林国际公寓,建面 215m²,在售,住宅,1600,总价1600万/套起
西湖,宝嘉誉府,0,下期待开,住宅,价格待定,0
江干,东方君悦,建面 80m²,在售,商业类,44000,总价352万/套起
余杭,融创金成西溪海,建面 130~138m²,待售,住宅,25699,总价234万/套起
余杭,中港罗兰小镇,建面 109m²,在售,住宅,19000,总价207万/套起
江干,东亚新干线,建面 43m²,在售,商业类,35000,总价120万/套起
余杭,西溪蓝海,0,待售,商业类,价格待定,0
西湖,恒大水晶国际广场,0,下期待开,住宅,价格待定,0
余杭,雅居乐国际花园,0,下期待开,住宅,价格待定,0
江干,万科中央公园,0,下期待开,住宅,价格待定,0
余杭,杭钢紫元旭润和府,0,待售,住宅,价格待定,0
滨江,金铂湾,建面 88m²,在售,商业类,24000,总价211万/套起
江干,淮矿东元府,建面 115m²,待售,住宅,价格待定,总价368万/套起
西湖,众安白马山庄,建面 270m²,在售,别墅,1550,总价470万/套起
江干,恒祺克拉天玺,建面 41m²,在售,商业类,32000,总价120万/套起
余杭,泰禾杭州院子,建面 195m²,在售,别墅,1200,总价1200万/套起
桐庐,大奇山郡,建面 540m²,在售,别墅,18000,总价972万/套起
萧山,科尔世纪外滩,建面 373m²,在售,别墅,35500,总价1305万/套起
余杭,创客空间大厦,建面 99m²,在售,商业类,26000,总价257万/套起
萧山,梅和名府,0,下期待开,住宅,价格待定,0
余杭,绿野御墅,建面 466~501m²,在售,别墅,1000,总价1000万/套起
余杭,梦溪东明山居,建面 502m²,在售,别墅,800,总价1100万/套起
海宁市,盈都江悦城,0,待售,住宅,价格待定,0
萧山,信融御金台,建面 415~418m²,在售,商业类,33000,总价1369万/套起
江干,万科大都会79号,建面 160m²,在售,住宅,49000,总价1280万/套起
下城,武林外滩,建面 260~348m²,在售,住宅,90000,总价2340万/套起
江干,广大融城印象,0,待售,住宅,价格待定,0
拱墅,中国铁建国际城,建面 45~196m²,在售,商业类,26000,总价117万/套起
